Player,Nation,Pos,Age,Team,League,Min,90s,Gls,Ast,per_90_Gls,per_90_Ast,SoT,Crs,TklW,Int,CrdY,CrdR,Saves,CS,GA,Lig_Puani,Takim_Puani,Lig_Max_90s,oynanabilirlik_skoru,Zorluk_Seviyesi
Kialonda,ANG,DF,27.0,Lecce,ITA-Serie A,1830,20.33,0,0,0.0,0.0,1,1,9,19,6,1,0.0,0.0,0.0,90,40,48.28,33.05,Zor
Kieran Trippier,ENG,DF,34.0,Newcastle,ENG-Premier League,1586,17.62,0,1,0.0,0.06,0,96,13,7,3,0,0.0,0.0,0.0,100,75,38.0,62.93,Zor
Kiernan Dewsbury-Hall,ENG,MF,26.0,Everton,ENG-Premier League,2626,29.18,8,4,0.27,0.14,15,112,26,14,6,0,0.0,0.0,0.0,100,40,38.0,37.21,Zor
Kieron Bowie,SCO,FW,22.0,Hellas Verona,ITA-Serie A,1200,13.33,4,0,0.3,0.0,11,6,3,0,1,0,0.0,0.0,0.0,90,40,48.28,31.31,Zor
Kike Salas,ESP,DF,23.0,Sevilla,ESP-La Liga,2203,24.48,2,0,0.08,0.0,8,10,35,37,1,0,0.0,0.0,0.0,95,40,38.0,35.73,Zor
Kiko Femenía,ESP,"DF,MF",34.0,Getafe,ESP-La Liga,2008,22.31,1,1,0.04,0.04,3,43,24,36,6,0,0.0,0.0,0.0,95,40,38.0,35.05,Zor
Kiké,ESP,FW,35.0,Espanyol,ESP-La Liga,1734,19.27,8,1,0.42,0.05,27,17,8,4,3,0,0.0,0.0,0.0,95,40,38.0,34.09,Zor
Kilian Fischer,GER,DF,24.0,Wolfsburg,GER-Bundesliga,800,8.89,0,0,0.0,0.0,0,16,13,12,0,0,0.0,0.0,0.0,90,40,34.0,31.14,Zor
Kim Min-jae,KOR,DF,28.0,Bayern Munich,GER-Bundesliga,1602,17.8,1,1,0.06,0.06,3,1,19,38,1,0,0.0,0.0,0.0,90,100,34.0,85.71,Kolay
Kingsley Ehizibue,NED,"MF,DF",30.0,Udinese,ITA-Serie A,1811,20.12,2,0,0.1,0.0,2,32,31,13,5,0,0.0,0.0,0.0,90,40,48.28,33.0,Zor
Kobbie Mainoo,ENG,MF,20.0,Manchester Utd,ENG-Premier League,1662,18.47,1,2,0.05,0.11,3,13,20,19,2,0,0.0,0.0,0.0,100,85,38.0,71.89,Zor
Koffi Kouao,CIV,"DF,MF",27.0,Metz,FRA-Ligue 1,2265,25.17,2,1,0.08,0.04,10,59,46,28,10,0,0.0,0.0,0.0,85,40,34.0,36.88,Zor
Kojo Peprah Oppong,GHA,DF,21.0,Nice,FRA-Ligue 1,2425,26.94,1,0,0.04,0.0,3,5,28,30,4,0,0.0,0.0,0.0,85,40,34.0,37.51,Zor
Koke,ESP,MF,33.0,Atlético Madrid,ESP-La Liga,2219,24.66,2,2,0.08,0.08,4,44,30,19,6,0,0.0,0.0,0.0,95,92,38.0,82.31,Orta
Koni De Winter,BEL,DF,23.0,Milan,ITA-Serie A,1800,20.0,1,1,0.05,0.05,1,5,19,13,1,0,0.0,0.0,0.0,90,80,48.28,65.94,Zor
Konrad Laimer,AUT,DF,28.0,Bayern Munich,GER-Bundesliga,1994,22.16,3,9,0.14,0.41,8,38,25,17,9,0,0.0,0.0,0.0,90,100,34.0,89.55,Kolay
Konstantinos Koulierakis,GRE,DF,21.0,Wolfsburg,GER-Bundesliga,2482,27.58,4,1,0.15,0.04,12,20,25,35,5,0,0.0,0.0,0.0,90,40,34.0,37.73,Zor
Konstantinos Mavropanos,GRE,DF,27.0,West Ham,ENG-Premier League,2534,28.16,3,0,0.11,0.0,8,4,24,47,2,0,0.0,0.0,0.0,100,40,38.0,36.89,Zor
Kristian Thorstvedt,NOR,MF,26.0,Sassuolo,ITA-Serie A,2460,27.33,4,4,0.15,0.15,13,13,20,31,9,0,0.0,0.0,0.0,90,40,48.28,34.79,Zor
Kristijan Jakić,CRO,"MF,DF",28.0,Augsburg,GER-Bundesliga,1653,18.37,2,1,0.11,0.05,6,4,25,17,5,0,0.0,0.0,0.0,90,40,34.0,34.48,Zor
Kristjan Asllani,ALB,MF,23.0,Torino,ITA-Serie A,2024,22.49,2,2,0.09,0.09,7,69,18,22,3,1,0.0,0.0,0.0,90,40,48.28,33.59,Zor
Kristoffer Ajer,NOR,DF,27.0,Brentford,ENG-Premier League,1810,20.11,0,1,0.0,0.05,3,7,23,15,4,0,0.0,0.0,0.0,100,40,38.0,34.35,Zor
Kristoffer Lund,USA,"DF,MF",23.0,Köln,GER-Bundesliga,2276,25.29,0,2,0.0,0.08,3,83,26,28,2,0,0.0,0.0,0.0,90,40,34.0,36.93,Zor
Krépin Diatta,SEN,"MF,DF",26.0,Monaco,FRA-Ligue 1,1013,11.26,0,1,0.0,0.09,1,39,16,15,2,0,0.0,0.0,0.0,85,70,34.0,55.95,Zor
Kwasi Sibo,GHA,MF,27.0,Oviedo,ESP-La Liga,1681,18.68,0,0,0.0,0.0,2,2,20,14,3,1,0.0,0.0,0.0,95,40,38.0,33.9,Zor
Kyle Walker,ENG,"DF,MF",35.0,Burnley,ENG-Premier League,3096,34.4,0,2,0.0,0.06,0,37,32,43,9,0,0.0,0.0,0.0,100,40,38.0,38.86,Zor
Kyle Walker-Peters,ENG,DF,28.0,West Ham,ENG-Premier League,1383,15.37,1,0,0.07,0.0,3,20,30,9,2,0,0.0,0.0,0.0,100,40,38.0,32.85,Zor
Kylian Mbappé,FRA,FW,26.0,Real Madrid,ESP-La Liga,2599,28.88,25,5,0.87,0.17,63,26,1,3,4,0,0.0,0.0,0.0,95,100,38.0,92.8,Kolay
Kévin Danois,FRA,MF,21.0,Auxerre,FRA-Ligue 1,2830,31.44,3,1,0.1,0.03,8,130,48,38,3,0,0.0,0.0,0.0,85,40,34.0,39.1,Zor
Kévin Rodrigues,POR,"DF,MF",31.0,Gaziantep,TUR-Super Lig,2284,25.38,2,3,0.08,0.12,7,37,45,41,7,1,0.0,0.0,0.0,90,40,34.0,36.96,Zor
Ladislav Krejčí,CZE,"DF,MF",26.0,Wolves,ENG-Premier League,2536,28.18,2,1,0.07,0.04,10,17,21,33,6,1,0.0,0.0,0.0,100,40,38.0,36.9,Zor
Lamare Bogarde,NED,"MF,DF",21.0,Aston Villa,ENG-Premier League,1053,11.7,0,0,0.0,0.0,0,2,19,4,5,0,0.0,0.0,0.0,100,80,38.0,63.39,Zor
Lameck Banda,ZAM,"MF,FW",24.0,Lecce,ITA-Serie A,1752,19.47,5,4,0.26,0.21,15,90,17,7,6,1,0.0,0.0,0.0,90,40,48.28,32.84,Zor
Lamine Camara,SEN,MF,21.0,Monaco,FRA-Ligue 1,1847,20.52,3,4,0.15,0.19,4,101,33,38,6,0,0.0,0.0,0.0,85,70,34.0,61.67,Zor
Lamine Sy,MTN,DF,22.0,Auxerre,FRA-Ligue 1,1536,17.07,0,0,0.0,0.0,2,47,29,26,1,0,0.0,0.0,0.0,85,40,34.0,34.02,Zor
Lamine Yamal,ESP,"MF,FW",18.0,Barcelona,ESP-La Liga,2262,25.13,16,11,0.64,0.44,37,77,20,8,1,0,0.0,0.0,0.0,95,100,38.0,89.84,Kolay
Largie Ramazani,BEL,"MF,FW",24.0,Valencia,ESP-La Liga,1234,13.71,6,1,0.44,0.07,19,27,12,14,4,0,0.0,0.0,0.0,95,40,38.0,32.33,Zor
Lars Ritzka,GER,"MF,DF",27.0,St Pauli,GER-Bundesliga,966,10.73,0,0,0.0,0.0,1,18,26,13,1,0,0.0,0.0,0.0,90,40,34.0,31.79,Zor
Lassana Coulibaly,MLI,MF,29.0,Lecce,ITA-Serie A,2689,29.88,3,1,0.1,0.03,8,18,28,9,4,0,0.0,0.0,0.0,90,40,48.28,35.43,Zor
Lassine Sinayoko,MLI,"FW,MF",25.0,Auxerre,FRA-Ligue 1,2770,30.78,12,4,0.39,0.13,39,32,26,26,8,0,0.0,0.0,0.0,85,40,34.0,38.86,Zor
Laurent Abergel,FRA,MF,32.0,Lorient,FRA-Ligue 1,2318,25.76,1,0,0.04,0.0,5,9,23,28,7,0,0.0,0.0,0.0,85,40,34.0,37.09,Zor
Lautaro Gianetti,ARG,DF,31.0,Antalyaspor,TUR-Super Lig,1800,20.0,1,1,0.05,0.05,4,1,25,17,6,0,0.0,0.0,0.0,90,40,34.0,35.06,Zor
Lautaro Martínez,ARG,FW,27.0,Inter,ITA-Serie A,2159,23.99,17,6,0.71,0.25,39,17,13,6,4,0,0.0,0.0,0.0,90,95,48.28,80.66,Orta
Lautaro Valenti,ARG,DF,26.0,Parma,ITA-Serie A,2252,25.02,0,0,0.0,0.0,4,20,30,26,7,0,0.0,0.0,0.0,90,40,48.28,34.22,Zor
Leander Dendoncker,BEL,MF,30.0,Oviedo,ESP-La Liga,1330,14.78,1,0,0.07,0.0,4,5,25,11,2,0,0.0,0.0,0.0,95,40,38.0,32.67,Zor
Leandro Cabrera,URU,DF,34.0,Espanyol,ESP-La Liga,3330,37.0,3,0,0.08,0.0,12,20,23,23,4,0,0.0,0.0,0.0,95,40,38.0,39.68,Zor
Leandro Trossard,BEL,"FW,MF",30.0,Arsenal,ENG-Premier League,2000,22.22,6,6,0.27,0.27,15,58,15,9,2,0,0.0,0.0,0.0,100,95,38.0,83.16,Orta
Lee Jae-sung,KOR,"MF,FW",32.0,Mainz 05,GER-Bundesliga,2185,24.28,4,2,0.16,0.08,9,31,21,25,4,0,0.0,0.0,0.0,90,40,34.0,36.57,Zor
Lee Kang-in,KOR,"MF,FW",24.0,PSG,FRA-Ligue 1,1519,16.88,3,4,0.18,0.24,15,113,9,1,3,0,0.0,0.0,0.0,85,100,34.0,84.89,Orta
Lennart Karl,GER,MF,17.0,Bayern Munich,GER-Bundesliga,1281,14.23,5,5,0.35,0.35,21,29,15,11,1,0,0.0,0.0,0.0,90,100,34.0,82.56,Orta
Lenny Pintor,FRA,"MF,FW",24.0,Eyüpspor,TUR-Super Lig,768,8.53,0,0,0.0,0.0,1,18,13,7,2,0,0.0,0.0,0.0,90,40,34.0,31.01,Zor
Leny Yoro,FRA,DF,19.0,Manchester Utd,ENG-Premier League,1740,19.33,0,0,0.0,0.0,3,3,20,31,1,0,0.0,0.0,0.0,100,85,38.0,72.47,Zor
Leo Román,ESP,GK,25.0,Mallorca,ESP-La Liga,2970,33.0,0,0,0.0,0.0,0,0,1,1,4,0,99.0,4.0,50.0,95,40,38.0,38.42,Zor
Leo Østigård,NOR,DF,25.0,Genoa,ITA-Serie A,2622,29.13,5,1,0.17,0.03,12,1,27,30,7,0,0.0,0.0,0.0,90,40,48.28,35.24,Zor
Leon Avdullahu,KVX,MF,21.0,Hoffenheim,GER-Bundesliga,2834,31.49,0,1,0.0,0.03,2,15,30,33,5,0,0.0,0.0,0.0,90,40,34.0,39.11,Zor
Leon Goretzka,GER,MF,30.0,Bayern Munich,GER-Bundesliga,1947,21.63,5,3,0.23,0.14,11,7,19,26,4,0,0.0,0.0,0.0,90,100,34.0,89.09,Kolay
Leonardo Balerdi,ARG,DF,26.0,Marseille,FRA-Ligue 1,2001,22.23,0,1,0.0,0.04,5,2,28,27,5,0,0.0,0.0,0.0,85,70,34.0,62.73,Zor
Leonardo Spinazzola,ITA,"MF,DF",32.0,Napoli,ITA-Serie A,1901,21.12,3,3,0.14,0.14,7,73,10,4,2,0,0.0,0.0,0.0,90,90,48.28,74.81,Zor
Leopold Querfeld,AUT,DF,21.0,Union Berlin,GER-Bundesliga,2705,30.06,3,0,0.1,0.0,10,3,27,35,7,0,0.0,0.0,0.0,90,40,34.0,38.61,Zor
Leroy Sané,GER,MF,29.0,Galatasaray,TUR-Super Lig,2280,25.33,7,5,0.28,0.2,15,81,21,11,1,1,0.0,0.0,0.0,90,100,34.0,92.35,Kolay
Lesley Ugochukwu,FRA,MF,21.0,Burnley,ENG-Premier League,2336,25.96,3,1,0.12,0.04,8,7,26,17,3,1,0.0,0.0,0.0,100,40,38.0,36.2,Zor
Levent Mercan,GER,DF,24.0,Fenerbahçe,TUR-Super Lig,1162,12.91,0,3,0.0,0.23,1,46,16,15,1,0,0.0,0.0,0.0,90,100,34.0,81.39,Orta
Lewis Cook,ENG,"MF,DF",28.0,Bournemouth,ENG-Premier League,874,9.71,0,1,0.0,0.1,0,44,17,21,1,1,0.0,0.0,0.0,100,70,38.0,54.37,Zor
Lewis Dunk,ENG,DF,33.0,Brighton,ENG-Premier League,2838,31.53,1,0,0.03,0.0,3,5,22,30,10,0,0.0,0.0,0.0,100,75,38.0,71.17,Zor
Lewis Ferguson,SCO,MF,25.0,Bologna,ITA-Serie A,1601,17.79,1,0,0.06,0.0,2,25,16,12,7,1,0.0,0.0,0.0,90,40,48.28,32.42,Zor
Lewis Hall,ENG,DF,20.0,Newcastle,ENG-Premier League,2181,24.23,1,1,0.04,0.04,6,102,31,29,4,0,0.0,0.0,0.0,100,75,38.0,66.85,Zor
Lewis Miley,ENG,"MF,DF",19.0,Newcastle,ENG-Premier League,1496,16.62,1,4,0.06,0.24,4,42,18,20,0,0,0.0,0.0,0.0,100,75,38.0,62.34,Zor
Liam Delap,ENG,FW,22.0,Chelsea,ENG-Premier League,1107,12.3,1,0,0.08,0.0,11,6,3,1,4,0,0.0,0.0,0.0,100,80,38.0,63.77,Zor
Lilian Brassier,FRA,DF,25.0,Rennes,FRA-Ligue 1,2250,25.0,0,1,0.0,0.04,2,23,13,38,2,0,0.0,0.0,0.0,85,40,34.0,36.82,Zor
Lilian Raolisoa,FRA,"MF,DF",25.0,Angers,FRA-Ligue 1,1966,21.84,2,4,0.09,0.18,5,99,31,14,3,0,0.0,0.0,0.0,85,40,34.0,35.71,Zor
Linton Maina,GER,"MF,FW",26.0,Köln,GER-Bundesliga,1023,11.37,2,0,0.18,0.0,8,25,6,4,0,0,0.0,0.0,0.0,90,40,34.0,32.01,Zor
Lionel Carole,FRA,DF,34.0,Kayserispor,TUR-Super Lig,1900,21.11,0,0,0.0,0.0,0,23,24,31,3,0,0.0,0.0,0.0,90,40,34.0,35.45,Zor
Lisandro Martínez,ARG,DF,27.0,Manchester Utd,ENG-Premier League,1233,13.7,0,0,0.0,0.0,0,2,11,12,0,1,0.0,0.0,0.0,100,85,38.0,68.69,Zor
Lloyd Kelly,ENG,DF,26.0,Juventus,ITA-Serie A,2996,33.29,1,1,0.03,0.03,3,12,33,14,4,0,0.0,0.0,0.0,90,85,48.28,77.08,Orta
Logi Tómasson,ISL,DF,24.0,Samsunspor,TUR-Super Lig,2256,25.07,1,4,0.04,0.16,5,86,27,19,5,0,0.0,0.0,0.0,90,40,34.0,36.85,Zor
Loide Augusto,ANG,"MF,FW",25.0,Rizespor,TUR-Super Lig,1160,12.89,3,2,0.23,0.16,8,43,5,1,5,0,0.0,0.0,0.0,90,40,34.0,32.55,Zor
Lorenz Assignon,TOG,"DF,MF",25.0,Stuttgart,GER-Bundesliga,1094,12.16,0,0,0.0,0.0,4,40,15,15,3,1,0.0,0.0,0.0,90,75,34.0,60.55,Zor
Lorenzo Bernasconi,ITA,MF,21.0,Atalanta,ITA-Serie A,1572,17.47,0,3,0.0,0.17,1,113,16,14,3,0,0.0,0.0,0.0,90,75,48.28,60.64,Zor
Lorenzo Colombo,ITA,FW,23.0,Genoa,ITA-Serie A,2326,25.84,7,1,0.27,0.04,27,16,12,1,2,0,0.0,0.0,0.0,90,40,48.28,34.42,Zor
Lorenzo Montipò,ITA,GK,29.0,Hellas Verona,ITA-Serie A,3150,35.0,0,1,0.0,0.03,0,0,0,0,0,0,87.0,5.0,54.0,90,40,48.28,36.7,Zor
Lorenzo Pellegrini,ITA,MF,29.0,Roma,ITA-Serie A,1463,16.26,4,2,0.25,0.12,12,89,5,15,2,0,0.0,0.0,0.0,90,75,48.28,60.08,Zor
Louis Leroux,FRA,"MF,DF",19.0,Nantes,FRA-Ligue 1,1441,16.01,1,1,0.06,0.06,3,30,23,5,2,0,0.0,0.0,0.0,85,40,34.0,33.65,Zor
Louis Mouton,FRA,MF,23.0,Angers,FRA-Ligue 1,1891,21.01,2,1,0.1,0.05,8,31,26,12,2,1,0.0,0.0,0.0,85,40,34.0,35.42,Zor
Louis Oppie,GER,MF,23.0,St Pauli,GER-Bundesliga,1620,18.0,1,0,0.06,0.0,4,58,19,11,0,0,0.0,0.0,0.0,90,40,34.0,34.35,Zor
Loum Tchaouna,FRA,"MF,FW",21.0,Burnley,ENG-Premier League,1272,14.13,2,1,0.14,0.07,9,34,9,2,2,0,0.0,0.0,0.0,100,40,38.0,32.46,Zor
Lovro Majer,CRO,MF,27.0,Wolfsburg,GER-Bundesliga,1371,15.23,2,3,0.13,0.2,6,28,18,8,5,0,0.0,0.0,0.0,90,40,34.0,33.38,Zor
Loïc Bade,FRA,DF,25.0,Leverkusen,GER-Bundesliga,1653,18.37,0,0,0.0,0.0,4,4,19,21,4,0,0.0,0.0,0.0,90,85,34.0,73.28,Zor
Loïc Nego,HUN,"DF,MF",34.0,Le Havre,FRA-Ligue 1,2339,25.99,0,0,0.0,0.0,3,78,36,32,3,0,0.0,0.0,0.0,85,40,34.0,37.17,Zor
Luca Jaquez,SUI,DF,22.0,Stuttgart,GER-Bundesliga,898,9.98,0,1,0.0,0.1,0,1,7,11,1,0,0.0,0.0,0.0,90,75,34.0,59.1,Zor
Luca Netz,GER,"DF,MF",22.0,Gladbach,ENG-Premier League,1297,14.41,0,2,0.0,0.14,0,28,18,8,1,0,0.0,0.0,0.0,100,40,38.0,32.55,Zor
Luca Pellegrini,ITA,DF,26.0,Lazio,ITA-Serie A,1469,16.32,1,0,0.06,0.0,5,51,15,17,8,0,0.0,0.0,0.0,90,75,48.28,60.11,Zor
Luca Ranieri,ITA,DF,26.0,Fiorentina,ITA-Serie A,2458,27.31,1,0,0.04,0.0,3,27,24,24,8,1,0.0,0.0,0.0,90,40,48.28,34.79,Zor
Lucas,BRA,"MF,DF",24.0,Burnley,ENG-Premier League,1409,15.66,0,0,0.0,0.0,4,56,22,19,1,1,0.0,0.0,0.0,100,40,38.0,32.95,Zor
Lucas Ahijado,ESP,DF,30.0,Oviedo,ESP-La Liga,1098,12.2,0,1,0.0,0.08,2,16,29,17,3,0,0.0,0.0,0.0,95,40,38.0,31.85,Zor
Lucas Beltrán,ARG,FW,24.0,Valencia,ESP-La Liga,1365,15.17,1,2,0.07,0.13,9,10,10,4,1,0,0.0,0.0,0.0,95,40,38.0,32.79,Zor
Lucas Beraldo,BRA,"DF,MF",21.0,PSG,FRA-Ligue 1,1567,17.41,2,1,0.11,0.06,4,2,21,18,2,0,0.0,0.0,0.0,85,100,34.0,85.36,Kolay
Lucas Bergvall,SWE,MF,19.0,Tottenham,ENG-Premier League,965,10.72,1,3,0.09,0.28,5,19,14,3,2,0,0.0,0.0,0.0,100,80,38.0,62.77,Zor
Lucas Boyé,ARG,FW,29.0,Alavés,ESP-La Liga,1958,21.76,11,1,0.51,0.05,21,10,25,7,4,1,0.0,0.0,0.0,95,40,38.0,34.87,Zor
Lucas Calegari,BRA,"DF,MF",23.0,Eyüpspor,TUR-Super Lig,1613,17.92,1,2,0.06,0.11,4,53,19,16,1,0,0.0,0.0,0.0,90,40,34.0,34.32,Zor
Lucas Chevalier,FRA,GK,23.0,PSG,FRA-Ligue 1,1530,17.0,0,0,0.0,0.0,0,0,0,0,0,0,32.0,9.0,13.0,85,100,34.0,85.0,Orta
Lucas Da Cunha,FRA,MF,24.0,Como,ITA-Serie A,2739,30.43,6,4,0.2,0.13,16,99,33,18,4,0,0.0,0.0,0.0,90,40,48.28,35.56,Zor
Lucas Digne,FRA,DF,32.0,Aston Villa,ENG-Premier League,1852,20.58,0,6,0.0,0.29,5,108,26,13,3,0,0.0,0.0,0.0,100,80,38.0,69.0,Zor
Lucas Gourna-Douath,FRA,MF,21.0,Le Havre,FRA-Ligue 1,1272,14.13,0,0,0.0,0.0,2,5,12,15,5,0,0.0,0.0,0.0,85,40,34.0,32.99,Zor
Lucas Hernández,FRA,DF,29.0,PSG,FRA-Ligue 1,1747,19.41,0,3,0.0,0.15,3,16,14,21,4,0,0.0,0.0,0.0,85,100,34.0,87.13,Kolay
Lucas Höler,GER,"FW,MF",31.0,Freiburg,GER-Bundesliga,2037,22.63,3,1,0.13,0.04,15,8,12,11,4,0,0.0,0.0,0.0,90,40,34.0,35.99,Zor
Lucas Høgsberg,DEN,DF,19.0,Strasbourg,FRA-Ligue 1,1792,19.91,0,0,0.0,0.0,1,0,9,13,4,1,0.0,0.0,0.0,85,40,34.0,35.03,Zor
Lucas Paquetá,BRA,"MF,FW",27.0,West Ham,ENG-Premier League,1511,16.79,4,1,0.24,0.06,11,36,22,7,7,1,0.0,0.0,0.0,100,40,38.0,33.3,Zor
Lucas Perri,BRA,GK,27.0,Leeds United,ENG-Premier League,1440,16.0,0,0,0.0,0.0,0,0,0,0,2,0,38.0,3.0,29.0,100,40,38.0,33.05,Zor
Lucas Torreira,URU,MF,29.0,Galatasaray,TUR-Super Lig,2213,24.59,3,4,0.12,0.16,8,5,29,24,5,0,0.0,0.0,0.0,90,100,34.0,91.7,Kolay
Lucas Torró,ESP,MF,31.0,Osasuna,ESP-La Liga,2293,25.48,0,1,0.0,0.04,9,2,19,30,6,0,0.0,0.0,0.0,95,40,38.0,36.05,Zor
Lucas Tousart,FRA,"MF,DF",28.0,Brest,FRA-Ligue 1,834,9.27,1,0,0.11,0.0,3,3,12,9,0,0,0.0,0.0,0.0,85,40,34.0,31.27,Zor
Luccas Claro,BRA,DF,33.0,Eyüpspor,TUR-Super Lig,1417,15.74,1,0,0.06,0.0,1,0,8,16,3,0,0.0,0.0,0.0,90,40,34.0,33.56,Zor
Lucien Agoume,FRA,MF,23.0,Sevilla,ESP-La Liga,2686,29.84,1,3,0.03,0.1,2,18,40,49,12,0,0.0,0.0,0.0,95,40,38.0,37.42,Zor
Ludovic Ajorque,FRA,FW,31.0,Brest,FRA-Ligue 1,2820,31.33,8,9,0.26,0.29,17,9,20,11,9,1,0.0,0.0,0.0,85,40,34.0,39.06,Zor
Ludovic Blas,FRA,"MF,FW",27.0,Rennes,FRA-Ligue 1,1546,17.18,5,4,0.29,0.23,14,93,10,15,1,0,0.0,0.0,0.0,85,40,34.0,34.06,Zor
Luis Díaz,COL,MF,28.0,Bayern Munich,GER-Bundesliga,2447,27.19,15,14,0.55,0.51,37,45,13,17,7,1,0.0,0.0,0.0,90,100,34.0,93.99,Kolay
Luis Henrique,BRA,MF,23.0,Inter,ITA-Serie A,1624,18.04,1,2,0.06,0.11,7,39,16,7,1,0,0.0,0.0,0.0,90,95,48.28,77.15,Orta
Luis Milla,ESP,MF,30.0,Getafe,ESP-La Liga,3271,36.34,1,10,0.03,0.28,4,225,33,42,5,1,0.0,0.0,0.0,95,40,38.0,39.48,Zor
Luis Pérez,ESP,"MF,DF",30.0,Gaziantep,TUR-Super Lig,1654,18.38,0,1,0.0,0.05,1,58,25,25,2,0,0.0,0.0,0.0,90,40,34.0,34.49,Zor
Luis Rioja,ESP,MF,31.0,Valencia,ESP-La Liga,2624,29.16,3,6,0.1,0.21,5,152,25,17,1,0,0.0,0.0,0.0,95,40,38.0,37.21,Zor
Luis Vázquez,ARG,FW,24.0,Getafe,ESP-La Liga,1194,13.27,3,1,0.23,0.08,9,2,3,4,2,0,0.0,0.0,0.0,95,40,38.0,32.19,Zor
Luiz Lúcio Reis Júnior,BRA,GK,24.0,Villarreal,ESP-La Liga,2520,28.0,0,0,0.0,0.0,0,0,0,1,3,0,72.0,8.0,30.0,95,75,38.0,69.08,Zor
Luka Modrić,CRO,MF,39.0,Milan,ITA-Serie A,2811,31.23,2,3,0.06,0.1,8,111,27,35,4,0,0.0,0.0,0.0,90,80,48.28,71.52,Zor
Luka Sučić,CRO,"MF,FW",22.0,Real Sociedad,ESP-La Liga,1022,11.36,3,1,0.26,0.09,7,6,8,5,1,0,0.0,0.0,0.0,95,75,38.0,59.23,Zor
Luka Vušković,CRO,DF,18.0,Hamburger SV,GER-Bundesliga,2442,27.13,6,0,0.22,0.0,10,2,17,40,6,0,0.0,0.0,0.0,90,40,34.0,37.58,Zor
Lukas Kübler,GER,DF,32.0,Freiburg,GER-Bundesliga,1587,17.63,2,2,0.11,0.11,5,30,25,31,3,0,0.0,0.0,0.0,90,40,34.0,34.22,Zor
Lukas Nmecha,GER,FW,26.0,Leeds United,ENG-Premier League,1083,12.03,6,1,0.5,0.08,16,10,7,3,0,0,0.0,0.0,0.0,100,40,38.0,31.8,Zor
Lukas Ullrich,GER,"DF,MF",21.0,Gladbach,GER-Bundesliga,1305,14.5,0,0,0.0,0.0,2,38,17,21,2,0,0.0,0.0,0.0,90,40,34.0,33.12,Zor
Luke Shaw,ENG,DF,30.0,Manchester Utd,ENG-Premier League,3219,35.77,1,1,0.03,0.03,3,54,45,43,9,0,0.0,0.0,0.0,100,85,38.0,83.5,Orta
Lukáš Hrádecký,FIN,GK,35.0,Monaco,FRA-Ligue 1,1439,15.99,0,0,0.0,0.0,0,0,1,0,1,0,45.0,2.0,27.0,85,70,34.0,58.88,Zor
Lutsharel Geertruida,NED,"DF,MF",25.0,Sunderland,ENG-Premier League,1693,18.81,0,0,0.0,0.0,3,9,22,20,2,0,0.0,0.0,0.0,100,40,38.0,33.94,Zor
Lyle Foster,RSA,"FW,MF",24.0,Burnley,ENG-Premier League,1371,15.23,3,2,0.2,0.13,6,6,12,4,4,0,0.0,0.0,0.0,100,40,38.0,32.81,Zor
László Bénes,SVK,MF,27.0,Kayserispor,TUR-Super Lig,2577,28.63,7,2,0.24,0.07,27,126,14,27,3,1,0.0,0.0,0.0,90,40,34.0,38.1,Zor
Léo Duarte,BRA,DF,29.0,Başakşehir,TUR-Super Lig,2303,25.59,0,1,0.0,0.04,2,5,23,22,5,0,0.0,0.0,0.0,90,75,34.0,69.43,Zor
Léo Pétrot,FRA,DF,28.0,Elche,ESP-La Liga,1572,17.47,0,0,0.0,0.0,0,16,22,17,2,1,0.0,0.0,0.0,95,40,38.0,33.52,Zor
M'Bala Nzola,ANG,FW,28.0,Pisa,ITA-Serie A,1525,16.94,4,1,0.24,0.06,11,7,4,2,2,1,0.0,0.0,0.0,90,40,48.28,32.21,Zor
M'Baye Niang,SEN,FW,30.0,Gençlerbirliği,TUR-Super Lig,1738,19.31,4,2,0.21,0.1,13,6,4,5,6,0,0.0,0.0,0.0,90,40,34.0,34.82,Zor
Maarten Vandevoordt,BEL,GK,23.0,RB Leipzig,GER-Bundesliga,1052,11.69,0,0,0.0,0.0,0,0,0,0,0,0,30.0,2.0,15.0,90,90,34.0,72.28,Zor
Mads Hermansen,DEN,GK,25.0,West Ham,ENG-Premier League,1620,18.0,0,1,0.0,0.06,0,0,0,0,0,0,53.0,7.0,28.0,100,40,38.0,33.68,Zor
Maduka Okoye,NGA,GK,25.0,Udinese,ITA-Serie A,2616,29.07,0,0,0.0,0.0,0,0,0,0,1,1,80.0,10.0,37.0,90,40,48.28,35.23,Zor
Maestro,ANG,MF,21.0,Alanyaspor,TUR-Super Lig,1424,15.82,1,1,0.06,0.06,3,5,17,5,6,1,0.0,0.0,0.0,90,40,34.0,33.58,Zor
Maghnes Akliouche,FRA,"MF,FW",23.0,Monaco,FRA-Ligue 1,2400,26.67,6,6,0.22,0.22,19,53,26,18,3,0,0.0,0.0,0.0,85,70,34.0,65.47,Zor
Mahamadou Nagida,CMR,DF,20.0,Rennes,FRA-Ligue 1,805,8.94,0,0,0.0,0.0,3,20,12,20,2,0,0.0,0.0,0.0,85,40,34.0,31.16,Zor
Mahdi Camara,FRA,MF,27.0,Rennes,FRA-Ligue 1,2653,29.48,3,1,0.1,0.03,12,28,33,27,5,1,0.0,0.0,0.0,85,40,34.0,38.4,Zor
